id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
OFIU52oKHxR8Jj+V3YPGfw==,Palermo,5,4,240,240,770000,Departamento
WIAeCvC1xsLcjzzuRqlCHQ==,Palermo,1,1,35,35,175000,Departamento
3VXt2F697vipsxB8cBHE2Q==,Belgrano,3,1,81,77,310000,Departamento
k5vLoPe2rmEYz2sGYlPwdA==,Belgrano,2,2,63,59,190000,Departamento
nfqsrPeaPDymf7Ux58j16g==,Belgrano,3,2,160,148,485000,Departamento
p/MUg9DruIYbiEOJnmwOWg==,Belgrano,4,2,178,170,780000,Departamento
t+bCU9zEUbMT/ADZyKsamA==,Recoleta,3,1,68,68,185000,Departamento
rQQ0dFlJ0J8vjndTX5OzeQ==,Recoleta,2,1,58,53,209000,Departamento
WSoO5y/gb912ukPflsbW9w==,Recoleta,2,1,43,41,165000,Departamento
wlvX4gqurlx6K8Xx9dx6gw==,Recoleta,4,1,94,80,250000,Departamento
2z4WpsAu2cxXbeajlHJ74Q==,Caballito,3,1,66,57,142000,Departamento
7QFx9PEgdWfVkuB8+lH+jw==,Caballito,4,2,128,91,510000,Departamento
rf54nedrKz+ok4eL0b5yRA==,Caballito,1,1,37,34,102000,Departamento
5BGsPBDVDEDTibj4GddKaQ==,Caballito,1,1,38,34,101000,Departamento
H8dRs+0/7qZcSeVas0OYfw==,Caballito,2,1,50,47,135000,Departamento
zH1YHi8a0N/1sPZzBiSVkA==,Caballito,1,1,38,34,105000,Departamento
LX3bRremgKlje75UBCWlfA==,Caballito,1,1,56,52,139000,Departamento
q2LtaN+h3HB5C+Ml5eEJZg==,Caballito,3,3,103,103,270000,Departamento
TCF6WvBQHuhWiVG95fCRRQ==,Caballito,1,1,37,34,98500,Departamento
2whKCwXDu4xy+7SNO+p6Cg==,San Telmo,1,1,36,32,75000,Departamento
CJiXhQP9o+hWUpOglOGO2w==,San Cristobal,2,1,87,85,155000,Departamento
/Opcu9YM4V1gQ6cTp2mvfw==,Villa Urquiza,1,1,33,30,120000,Departamento
BBnt8pHvOCa++YksRgY/jQ==,Villa Urquiza,3,2,120,90,280000,Departamento
jgoq+EqxdYmNkfO9rn7Odg==,Flores,1,1,35,31,74000,Departamento
2xRH47hKKSjHMMvnMqgHmg==,Villa Crespo,2,1,49,49,104000,PH
dP8gjSyrEo5k00yOBmM1eg==,Nuñez,1,1,32,29,135000,Departamento
dSkOecb92ISpub7sek1yiA==,Nuñez,2,1,34,34,110000,Departamento
29MIx5WkY8KoMM7T8oUZkg==,Almagro,2,1,50,45,145000,Departamento
HS78dfgGk8L6HyMuXeM+MA==,Almagro,3,2,62,58,230000,Departamento
S/khi0SYv9eK6/Rn6KX2kQ==,Almagro,2,1,69,65,155000,Departamento
4pqVyoNOoAz3DOOfkOAADw==,Almagro,2,1,56,50,143000,Departamento
VNITSUSXgO284N9WCTBbCw==,Liniers,2,1,49,43,116000,Departamento
ihsGBIy01o+xcCEIPE7ojQ==,Palermo,2,1,112,56,204000,Departamento
wap+6uezHZ+84iZliHsV/w==,Palermo,1,1,35,31,185000,Departamento
hDxdvGzzgr84spkOPFNdcQ==,Palermo,2,2,48,40,193000,Departamento
VCOTsuUxRVvhFzwd9orQWA==,Palermo,1,1,34,33,155000,Departamento
Os8pCR4sWyXfcQbh9nLBaw==,Palermo,2,2,48,40,193000,Departamento
doopoyoRvUDtjxB1GVCHRQ==,Palermo,2,1,67,40,145000,Departamento
18OxBNUjCTfJRVnWlW+qAw==,Palermo,2,1,65,37,165000,Departamento
5elFCsEt9aRaWNqEO8NwTQ==,Palermo,2,1,39,39,115000,Departamento
njDvhaeyqiLNqofC0Ss89w==,Palermo,1,1,42,39,175000,Departamento
ZjV8GRDKk8l9Xpn1scH2jQ==,Barracas,2,1,40,40,100000,Departamento
Ich08orYmQaCKbFjjo5c8w==,Belgrano,2,2,66,50,239800,Departamento
dZkxDGs1T0fUubSBe5O4EA==,Belgrano,1,1,40,38,150000,Departamento
wW3AsOwatwlaLhum6KoDhQ==,Recoleta,2,1,35,35,150000,Departamento
aRQJVUzZmTnR8iywyZNL/g==,Recoleta,1,1,32,32,145000,Departamento
526m0EijVR8DSscOOdmymw==,Recoleta,2,2,95,65,360000,Departamento
P35v9YEToh9sNNG3dAVMKg==,Balvanera,2,1,63,48,135000,Departamento
k9Rtis0LMsDr4hfwiMWeGw==,Caballito,2,1,48,48,124000,Departamento
ORZDjLpQQFieBbqqrwfPKw==,San Telmo,2,1,48,48,99000,Departamento
mS6Y+Ogu2b3vuebgbflFrA==,Colegiales,2,1,41,38,140000,Departamento
orRInOOuYTwAor+LL/zs7Q==,Barrio Norte,2,1,50,44,183000,Departamento
Xy6dbZg5mBMcTwA9fNQcoQ==,Las Cañitas,2,1,48,48,140000,Departamento
y7TEdb/YgXX0Ngy08VWQzA==,Villa Crespo,2,2,63,60,170000,Departamento
UEQtPpYVn9prFNUN5Win5g==,Villa Crespo,2,1,53,43,125000,Departamento
vnJnVcUfilz7ULvyP/XK/Q==,Villa Crespo,2,1,62,48,110000,Departamento
ehztWkUgySvEV9IEGd0lVg==,Villa Crespo,2,1,37,37,85000,Departamento
X0w8V9U9h1ay0rn5u5CQnQ==,Villa Urquiza,2,1,35,35,107000,Departamento
eRbw1d8Z3bCGLepvOlModQ==,Velez Sarsfield,1,1,44,40,85000,Departamento
2y83myjVJV3+ct67nfskXg==,Parque Centenario,2,1,56,50,143000,Departamento
nQgXlgI8vz0vA2RgwMI8gg==,Villa Crespo,3,2,200,150,580000,PH
hAuerRjnY3Gy6ujUsxkOgA==,Once,3,2,125,84,230000,Departamento
mVC0DvA66gRctChq/nJjTA==,Boedo,3,1,81,65,111000,Departamento
JI7seemMdH8kbdWHBcevwQ==,Flores,3,2,74,66,189000,Departamento
bBq5vVB7lImFxZHXeHgpBQ==,Almagro,3,2,96,89,195000,Departamento
Y8Fzmoarofi/Z6STliLg5g==,Almagro,3,1,55,45,120000,Departamento
bk8hsRlT3UHApYf54eTaLQ==,Almagro,3,3,85,57,185000,Departamento
SMzIcffhwjIgx+iBNh8BsA==,Palermo,3,1,63,58,290000,Departamento
DxEMcKUzcsdlSlhdOxN9kQ==,Palermo,3,1,80,75,149000,Departamento
vZk3+pjMswf8ShrmvnSY5w==,Palermo,3,1,69,59,285000,Departamento
L8zCMu6AhBo9fuoU3ocOlQ==,Palermo,3,2,92,90,286000,Departamento
3CnQJXa1MURwyjdD8DSQTg==,Palermo,3,1,48,48,152000,Departamento
jZYorw7qh6VuLfrR/n8VZg==,Belgrano,3,3,140,140,470000,Departamento
b9BQ+BGd8/7eVh63xQtgTg==,Recoleta,3,1,70,65,275000,Departamento
iieH1WQx9mNah/aYZxqH3Q==,Recoleta,3,2,66,66,205000,Departamento
uBFNFSaXFIDd1vbjJahqTw==,Caballito,3,2,89,77,206700,Departamento
W61mnBad6LRbjBk/fSx6TA==,Caballito,3,2,83,83,195000,Departamento
gBowaY4a+dAGa/BbYHDBbA==,Colegiales,3,2,94,85,340000,Departamento
X9eKDnDm4L0RvF6v/fP7gw==,Parque Chas,3,2,82,70,175000,Departamento
phrq/tuXSqS0DZDyqBdTzA==,Barrio Norte,4,2,78,78,185000,Departamento
5/mPEj2Aefxh1gI+CJlupA==,Villa Crespo,3,2,63,60,170000,Departamento
6qjp9QWHHR9MCwj4SWiP0Q==,Villa Crespo,3,1,75,55,149000,Departamento
OX9HCUxCvbzMWn/sI9XUtQ==,San Cristobal,3,1,60,60,115000,Departamento
Hgze/syWFPUPc0DFny8rgg==,Villa Urquiza,3,2,80,75,268000,Departamento
LjXSHdFmw8OEHF5Cor2Lpw==,Almagro,4,2,102,102,255000,PH
VdwizsyEWXs4aooDgDvhMQ==,Barracas,4,1,165,77,158000,PH
Y6IiDUEufbGdAhoNx/RZ0w==,Palermo,4,4,185,185,850000,Departamento
E+JlA760LlAXnkcfc7Xa2Q==,Palermo,4,2,160,160,440000,Departamento
Tmlm++JbN5znoSa4skeyBQ==,Palermo,4,2,126,115,450000,Departamento
6LWyCHdYRSUB9aoBKqcXGw==,Palermo,4,2,99,92,385000,Departamento
nGCDNYrSpPqPW3BNOo7VuQ==,Palermo,4,3,140,120,595000,Departamento
RbyAnO8qijcnUJR3iLdGQw==,Belgrano,4,2,98,93,295000,Departamento
uL6MUOy3Shh5tGpf0AlLAQ==,Belgrano,4,2,87,83,397000,Departamento
j2lg3OksaqREc62/L8lVSQ==,Recoleta,5,2,154,152,550000,Departamento
ERgxLtGMCFjSDS9bh5xJ7A==,Recoleta,5,3,213,213,595000,Departamento
FG/HsX8jrJWyhBX5tSAVQA==,Recoleta,5,2,180,180,620000,Departamento
nsH1ZBoZKm68Bm1cVATQ1w==,Barrio Norte,5,2,154,152,550000,Departamento
cTA3OlTTeuriSzPrbugJJA==,Villa Crespo,4,2,99,84,225000,Departamento
jvQoRvkfIzMWM0l/PJMt0w==,Villa Crespo,4,2,78,70,184000,Departamento
Wc+1vooA0feDHzJCkoJfSg==,Parque Centenario,4,2,136,121,340000,Departamento
lS2O9YaGk6f8HzBw1YRp0w==,Palermo,5,3,160,160,375000,PH
rkfLivp73L3Yz7D9pjMPxw==,Chacarita,5,1,158,158,290000,PH
HI0V8KU7MYwq2P3rODp8jw==,Villa General Mitre,5,4,200,175,310000,PH
gG5mw4DmJ3JMj0sFRNGjjw==,Barracas,5,3,144,133,360000,Departamento
y6P25KendFvrCClhJNrefg==,Belgrano,5,3,210,210,770000,Departamento
AXTJbPe/IDgsIUzhSxRQ4w==,Las Cañitas,5,3,175,133,450000,Departamento
lKLgocEUgIguuHdKa8F5Ag==,Once,5,1,143,143,170000,PH
b3no2zrlovfCYRxuN/cIKA==,Almagro,6,3,219,214,297000,PH
3h5ziVnzg+Gfz+xaX/iSxA==,Floresta,2,1,58,58,92000,PH
pzffLWW3p1vez99GtDnN7A==,Recoleta,4,2,105,95,239000,PH
NU/R2wbEpT+zXThKdBIcwQ==,Saavedra,3,1,107,65,209000,PH
Gfo7/ntsSuDcgJIV25NWmQ==,Caballito,4,1,135,97,332000,PH
nRjvULz3IIbzHPY6hBUAWw==,Villa Devoto,5,3,197,149,479000,PH
mDYvtq574mtYfZVDkqF5pg==,Villa Devoto,3,2,180,110,165000,PH
e3aR1wsS3ld95gvEeKDOFg==,Villa Ortuzar,6,3,210,150,365000,PH
637M+fj3vzkxXld+9lIgqg==,Parque Patricios,3,2,244,163,240000,PH
SIXIlb22xqHsuBtj1hwqaw==,Villa del Parque,3,1,85,59,190000,PH
EDi+EXLlj5RliBw5htwSFQ==,Boca,4,2,170,145,236000,Departamento
QZD9qRyD6LFtwJdu+Lu7/Q==,Boedo,2,1,36,36,93000,Departamento
t4Y6b/nJahYsILHEXoITuQ==,Boedo,3,1,109,93,264000,Departamento
f9KXoCuOq93fN4xxUKfLFA==,Nuñez,2,1,62,55,155000,Departamento
eOCJRCSDoKxONQuQkRXrMA==,Retiro,5,4,223,189,790000,Departamento
8jUuCjmoICDFxEpdS6V6ag==,Retiro,1,1,34,33,84500,Departamento
7BHaMFC72l/ufekepPiZOg==,Almagro,2,1,36,36,69500,Departamento
LPm7uOUPm9S6Gk/azRDrLg==,Almagro,4,1,84,84,180000,Departamento
U/YZ6f1iPOeOBHuJvUjq0A==,Almagro,7,3,233,233,415000,Departamento
cHlwTFNiEh4aJ7TF3vg04w==,Almagro,2,1,30,30,73000,Departamento
c37bIJ/NzWOd5nszBjBqdw==,Palermo,3,1,78,78,235000,Departamento
1FG3KeXHFRktW34YitHmGw==,Palermo,2,1,50,46,100000,Departamento
VLgd82wtB7+EfMQ788ztNw==,Barracas,2,1,56,53,132000,Departamento
rpgS6qRjOHrVcFrEroEQrw==,Belgrano,4,2,102,89,419000,Departamento
CGTGKFst6mcY9rJD0qS6kw==,Paternal,4,1,70,65,139000,Departamento
j2yUSQMQJMNHxFULq1QaHQ==,Recoleta,2,1,41,41,130000,Departamento
Zn58XmJ6Jm8RAo0OH9NsUQ==,Recoleta,3,2,84,76,445000,Departamento
8aC6/PWn+i3sosxJannQHQ==,Recoleta,2,1,53,40,170000,Departamento
FEyqgUn8/nEXcvzanbNotQ==,Saavedra,3,2,125,115,359500,Departamento
EqyhFk8nbg6l5kVDWiZy7A==,Saavedra,3,1,80,70,239500,Departamento
FqoUNGwIivEmzx4pY5I8Ww==,Saavedra,4,2,126,103,282000,Departamento
EfjE96IYxOV+/qGhupb+Ag==,Saavedra,3,1,80,70,240000,Departamento
VPCK3v31CFi0YOaBvrruzw==,Saavedra,2,1,55,50,168000,Departamento
Pu0ld3bhP2GK7ZZGIwbr7A==,Balvanera,2,1,64,64,118000,Departamento
fpBMYp/Yz8y4weE/mcHrDg==,Balvanera,2,1,70,50,119000,Departamento
3Nk9op3OUQB3F+qKnZHWMQ==,Balvanera,3,1,67,62,140000,Departamento
+eS0zslR91WsI1LU8+Qtsg==,Balvanera,2,1,34,34,82000,Departamento
tbuVOZoXx93mNUeqLxw4DQ==,Caballito,2,1,38,35,140000,Departamento
FeV/oJ5ViY+J4jizkr5sow==,Caballito,3,1,73,70,200000,Departamento
D7CIwqXqr41MtbYLTVAgFg==,Caballito,3,1,45,45,105000,Departamento
U8fUO+kxNItcWB+4b5B68Q==,Caballito,4,2,107,99,360000,Departamento
RnS4c9kovOjPdCgp0ITSZQ==,Caballito,2,1,38,37,89000,Departamento
x9uZ98J4vA3lGCarPlhlvQ==,Caballito,2,1,53,46,115000,Departamento
/1H+wHD1mVBQP+LhBOun5w==,Caballito,2,1,40,40,110000,Departamento
4cMA/AfabCaGXgaKkWxT4w==,Caballito,1,1,34,28,96000,Departamento
JLlWZhnBLtCZtTvPAki8Nw==,Caballito,1,1,38,38,120000,Departamento
LEZMQxlWtvaTcxXgh3Kcag==,Caballito,3,1,44,42,125000,Departamento
Ghbn8Nl5eYcNBFLiyTJC7A==,Monserrat,3,1,76,68,139000,Departamento
VqypT1ah4f363lZOd0ciJw==,San Telmo,3,1,79,79,175000,Departamento
mdNscM19t3PiDEfYup1nzA==,Barrio Norte,3,1,90,70,215000,Departamento
cZQyeBsdgz/c/+pX3hrPPA==,Las Cañitas,3,3,130,130,450000,Departamento
KTT/2T1VKlOoEbr0H6Ysxg==,San Nicolás,3,1,75,75,105000,Departamento
TUrndAnbbgnkRp5avYw0Kg==,Villa Crespo,3,1,72,65,199000,Departamento
U57TtwWkzW71xvZ7Kr6eLA==,Villa Crespo,2,1,54,50,173000,Departamento
PCVAF9GAk+lHWrGDGHMRpg==,Villa Crespo,3,2,75,75,160000,Departamento
dAuuj/eOPkq9gi0n0DwgSw==,Villa Devoto,3,1,60,55,140000,Departamento
Sx5VZCRcmjT7K4bUsuHN+w==,Villa Devoto,3,1,68,64,120000,Departamento
1a8R/xAJdcnkgsQqiMTmtQ==,Villa Urquiza,4,2,88,85,318000,Departamento
RGwWNcTcyrpK2kQF0EHdbw==,Villa Urquiza,2,1,58,48,170000,Departamento
TbhIlC5xNE6gfyCD5QBDFg==,Villa Urquiza,2,1,50,44,220000,Departamento
7MWsMwgG5u1TierecmmOPw==,Villa Urquiza,3,1,54,35,157354,Departamento
/oM9WeEbf22uf+NxjGuRsQ==,Villa Urquiza,3,1,60,43,103000,Departamento
qXxvADcL2exOLVryI02i6Q==,Parque Patricios,2,1,42,32,70000,Departamento
oHKtAt21ozb8OshdyWWmCw==,Parque Avellaneda,1,1,61,27,89000,Departamento
yioIzkcDQEGdZUM49fB0/w==,Parque Centenario,3,1,66,56,170000,Departamento
OMVc3/qZy7Jl/eKcqAW2VA==,Villa General Mitre,2,1,46,42,99900,Departamento
llWnsWKpQe5+enrjEei7iA==,Centro / Microcentro,1,1,34,33,84500,Departamento
J6DI3mM1TxjOBuDl/skjkw==,Flores,6,3,140,130,219000,PH
R3pYCh29cmEqKKZdhPIx3w==,Floresta,6,3,187,123,240000,PH
lBA6a/PFgm2YyEakoF4w9g==,Villa Devoto,4,2,173,125,329000,Casa
M+K1T8CE5jzkx6QhEydFDw==,Nuñez,1,1,38,33,120000,Departamento
L9o7assKoTJGzgX/2ffdUg==,Nuñez,2,1,58,51,235000,Departamento
F4xUMJOCL4JfY8Lz7Ge38Q==,Nuñez,3,2,65,59,198000,Departamento
baSY1390PQi6+suezm26tQ==,Nuñez,2,1,40,35,120000,Departamento
lXMX5fWmVYjuHFPMAQTf6g==,Almagro,2,1,44,44,149500,Departamento
tDOtCm+tRY4rJSp7YxplKg==,Palermo,3,1,72,70,220000,Departamento
vrKWeJ9wwg0ITV1NDsPfSw==,Palermo,1,1,47,38,157800,Departamento
93vbnoxDO7ZZhTmEpGbjug==,Palermo,2,1,32,27,110000,Departamento
MMyeSpQ6iaSXqPMHc2L/9g==,Palermo,3,2,160,146,520000,Departamento
DDl6YRoTgxxAG3i10sZlLQ==,Palermo,3,1,60,60,260000,Departamento
+C8DuToWvH8L59xhz0oHrA==,Palermo,3,1,79,68,305000,Departamento
XknnFe3EJVblE/+XHw4ZAQ==,Palermo,4,2,98,98,260000,Departamento
lEIql/JhXpf3guHrrzDkEQ==,Palermo,2,1,70,60,370000,Departamento
z4qSnYVylu5d4FfEfZT9yg==,Belgrano,5,2,180,165,420000,Departamento
mBvRhbh4ELNRKOYTJb6jTw==,Belgrano,2,1,89,59,285000,Departamento
fqFNsJUHK+BZiWPKOUAjJg==,Belgrano,2,1,56,50,260000,Departamento
57qmGuH32yGqqJkx5l9LUQ==,Belgrano,3,2,65,59,198000,Departamento
oHmnGqMEWoZAon26aE0SgQ==,Paternal,2,1,51,46,129000,Departamento
P9s9qi/pfe4YHkfpr5VM0A==,Paternal,2,1,50,45,133000,Departamento
h8LqWeFJyQpQ/fyNGRwf4Q==,Recoleta,3,1,70,60,192000,Departamento
zUCVXIGEO5MXuTxPz0FQmg==,Balvanera,3,1,56,56,117000,Departamento
Dn9Nc98LmYkfsixNsumOXQ==,Caballito,2,1,40,40,108000,Departamento
nYGUPKSJqAmb0QUPy2mvQw==,Caballito,3,2,81,69,289000,Departamento
bykvJys5JMcyjuQJC7Ibyg==,San Telmo,3,1,71,61,149000,Departamento
4aBPB6t7XrDYBahT9OCSdA==,Barrio Norte,2,1,62,60,168000,Departamento
ZEcZV61boBG0UFr5pG2NDg==,Barrio Norte,1,1,30,30,83000,Departamento
k4F5xU1XsAw/a5GETSk0Ng==,San Nicolás,7,2,174,174,230000,Departamento
TAhdXNPfWjzfz8Mzo9vdEQ==,Villa Crespo,3,1,60,57,168000,Departamento
ymK24SK5vrS8rLByHmhNFA==,Puerto Madero,2,1,64,60,345000,Departamento
wuVBP3V6ONPLeL08lU4vLA==,Puerto Madero,2,1,57,57,230000,Departamento
v8MrME7IReagLzgLBNmRTQ==,Puerto Madero,2,1,79,75,518000,Departamento
e3VUwa1MLoj69yR8KdEUnw==,Villa Urquiza,3,1,59,56,200000,Departamento
Xs5P4SGJYw51baW76Qa4Lg==,Villa Pueyrredón,2,1,45,41,125000,Departamento
6tcAoKw/P5IogH/G1Req+Q==,Almagro,1,1,95,37,95000,PH
GKh4mpLv76cYpaX+/bFeog==,Once,1,1,38,35,114000,Departamento
xi0FX2On4jT2Lmy3w6SfJg==,Flores,1,1,39,34,114500,Departamento
